timestamp,SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW
2017-01-23 06:00:00,23-Jan-2017,18.50,44032.42,45490.08,40029.83,401.58,4781.00,788.42,11503.00,108.92,16.58,-772.50,0.00,261.25,-84.17,144.08,0.00,,
2017-01-23 12:00:00,23-Jan-2017,30.50,46369.42,47555.42,42291.75,616.83,4781.00,1097.50,11503.00,0.00,7.67,-175.67,0.00,60.42,-115.00,106.83,0.00,,
2017-01-23 18:00:00,23-Jan-2017,42.50,41343.00,42836.50,38047.58,1105.25,4781.00,0.00,11503.00,0.00,80.25,-729.33,0.00,869.17,18.25,179.75,0.00,,
2017-01-24 00:00:00,24-Jan-2017,6.50,29098.25,32349.50,27226.58,1484.83,4781.00,0.00,11503.00,0.00,1627.92,-1023.42,0.00,896.50,296.92,287.00,0.00,,
2017-01-24 06:00:00,24-Jan-2017,18.50,42202.00,44565.00,39064.83,1457.33,4781.00,1310.33,11503.00,0.00,75.50,-965.42,0.00,-709.25,81.42,147.75,0.00,,
2017-01-24 12:00:00,24-Jan-2017,30.50,43721.50,45732.17,40161.50,1404.67,4781.00,1565.17,11503.00,0.00,9.17,-851.75,0.00,-395.58,-43.33,163.92,0.00,,
2017-01-24 18:00:00,24-Jan-2017,42.50,40315.42,41851.42,37353.08,1671.92,4781.00,0.00,11503.00,0.00,48.42,-716.08,0.00,822.58,-124.08,219.08,0.00,,
2017-01-25 00:00:00,25-Jan-2017,6.50,28545.67,31809.92,26915.50,1817.42,4781.00,0.00,11503.00,0.00,1641.17,-1023.08,0.00,989.08,296.42,287.00,0.00,,
2017-01-25 06:00:00,25-Jan-2017,18.50,41463.58,43743.33,38884.50,1982.42,4781.00,1010.75,11503.00,69.00,28.67,-1023.50,0.00,-629.83,17.75,190.83,0.00,,
2017-01-25 12:00:00,25-Jan-2017,30.50,44094.33,46527.42,41077.75,2161.33,4781.00,1275.67,11503.00,38.42,7.25,-1023.75,0.00,-649.00,-172.83,85.50,0.00,,
2017-01-25 18:00:00,25-Jan-2017,42.50,40527.08,42409.50,37646.42,2119.42,4781.00,0.00,11503.00,0.00,60.58,-1023.08,0.00,813.75,-113.42,216.42,0.00,,
2017-01-26 00:00:00,26-Jan-2017,6.50,28896.92,32201.42,26728.17,2115.75,4781.00,0.00,11503.00,0.00,1682.50,-1022.00,0.00,999.67,297.00,287.00,0.00,,
2017-01-26 06:00:00,26-Jan-2017,18.50,43528.17,44904.50,39859.42,2187.08,4781.00,236.50,11503.00,258.25,9.25,-1023.17,0.00,668.17,112.08,286.83,0.00,,
2017-01-26 12:00:00,26-Jan-2017,30.50,47174.92,48767.00,43543.08,2182.08,4781.00,449.92,11503.00,18.75,9.00,-945.67,0.00,731.67,-9.75,262.25,0.00,,
2017-01-26 18:00:00,26-Jan-2017,42.50,42436.92,44315.75,38965.75,1877.00,4781.00,0.00,11503.00,0.00,130.17,-1023.42,0.00,1004.17,-40.75,262.17,0.00,,
2017-01-27 00:00:00,27-Jan-2017,6.50,30739.00,34093.50,28197.33,1646.92,4781.00,0.00,11503.00,0.00,1732.00,-1022.50,0.00,1000.50,296.00,287.00,0.00,,
2017-01-27 06:00:00,27-Jan-2017,18.50,43867.42,45461.92,40179.25,1660.00,4781.00,696.75,11503.00,109.00,31.67,-1023.42,0.00,1005.00,86.67,112.33,0.00,,
2017-01-27 12:00:00,27-Jan-2017,30.50,45827.08,47647.75,42016.33,1795.50,4781.00,735.17,11503.00,1.75,6.25,-795.58,0.00,987.67,-249.83,-170.75,0.00,,
2017-01-27 18:00:00,27-Jan-2017,42.50,40543.67,42395.58,37093.50,1496.17,4781.00,0.00,11503.00,0.00,26.00,-636.17,0.00,999.75,-298.50,-225.00,0.00,,
2017-01-28 00:00:00,28-Jan-2017,6.50,28879.58,31180.08,26113.92,1003.58,4781.00,0.00,11503.00,0.00,1699.00,852.42,0.00,999.75,247.33,440.67,0.00,,
2017-01-28 06:00:00,28-Jan-2017,18.50,35292.50,36434.33,31719.08,1038.33,4781.00,997.00,11503.00,0.00,38.42,-403.92,0.00,958.50,16.25,167.50,0.00,,
2017-01-28 12:00:00,28-Jan-2017,30.50,38497.67,39451.25,34464.58,1216.08,4781.00,1317.08,11503.00,44.92,5.17,25.08,0.00,626.92,-168.25,171.17,0.00,,
2017-01-28 18:00:00,28-Jan-2017,42.50,37003.42,38337.83,33687.67,1271.75,4781.00,0.00,11503.00,10.50,6.25,-298.92,0.00,997.08,-234.83,-7.00,0.00,,
2017-01-29 00:00:00,29-Jan-2017,6.50,27438.58,29700.00,24993.83,1163.17,4781.00,0.00,11503.00,0.00,1661.42,418.25,0.00,999.58,197.33,408.25,0.00,,
2017-01-29 06:00:00,29-Jan-2017,18.50,33041.67,34625.50,29937.50,899.17,4781.00,797.83,11503.00,0.00,226.67,-711.92,0.00,1011.83,67.42,247.83,0.00,,
2017-01-29 12:00:00,29-Jan-2017,30.50,41249.50,42018.75,37444.83,856.67,4781.00,528.75,11503.00,0.00,12.17,906.58,0.00,997.50,-145.33,64.08,0.00,,
2017-01-29 18:00:00,29-Jan-2017,42.50,37565.42,39018.17,33816.75,744.42,4781.00,0.00,11503.00,0.00,77.58,-265.33,0.00,997.08,-358.50,-16.42,0.00,,
2017-01-30 00:00:00,30-Jan-2017,6.50,28136.17,30519.42,25329.50,564.33,4781.00,0.00,11503.00,0.00,1783.25,400.33,0.00,998.33,231.33,466.50,0.00,,
